title,publisher,categories,review_score,review_summary
Pictures of the Night,Peachpit Press,photography,0.75,Final mesmirising chapter in fairytale trilogy
Pictures of the Night,Peachpit Press,photography,1.0,"Calling all teenage girls, part three..."
Pictures of the Night,Peachpit Press,photography,0.25,Not my type of book
Pictures of the Night,Peachpit Press,photography,0.75,EXCELENT PERFECT FABULOS SUPER
Alaska: Southeast to McKinley,Rizzoli International Publications,photography,1.0,Alaskan Beauty
THE BLUE WALL,Big Earth Publishing,photography,1.0,excellent look at life as a police officer in canada
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,"Excellent Book, very readable, easy on the eyes format."
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,WOW!!! This book is great!
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,Excellent!
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,A great and useful tool!
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,One of the Best Photography Book I ever read
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,Inspiring
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,0.75,"great book, good service"
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,0.75,Good Overall Book
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,1.0,Informative Photography Book
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,0.75,KISS Guide to Photography
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,0.25,It's too simple even for a KISS book
KISS Guide to Photography (Keep It Simple Series),DK Publishing (Dorling Kindersley),photography,0.25,"outdated!!! although several book been out there for a long time, this book is also basic"
Copper Plate Photogravure: Demystifying the Process,CRC Press,photography,1.0,A very user friendly book on photogravure
Copper Plate Photogravure: Demystifying the Process,CRC Press,photography,0.75,Very technical and complex
Copper Plate Photogravure: Demystifying the Process,CRC Press,photography,1.0,Modern & Comprehensive
Francis Frith in Egypt and Palestine: A Victorian Photographer Abroad,,photography,0.5,Dry text ..... Great Images
Francis Frith in Egypt and Palestine: A Victorian Photographer Abroad,,photography,1.0,"excellent writing, impressive scholarship"
KODAK Photographic Filters Handbook (Kodak Publication),Silver Pixel Press,photography,0.5,kodak photograhic filters handbook
KODAK Photographic Filters Handbook (Kodak Publication),Silver Pixel Press,photography,0.75,For those who want to understand a bit more about filters.
KODAK Photographic Filters Handbook (Kodak Publication),Silver Pixel Press,photography,1.0,For professionals only
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,EVERYONE should have this book!
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Tasteful handling of a national tragedy
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Powerful photos and moving commentary make a great mix.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Remembering is good...
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Remember 9/11
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One of the best
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Excellent
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Absolutely a must have book...for years to come.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,THE Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Poignant and beautiful
